label,review
positif ,"Layar handphone ini sangat impresif dengan resolusi tinggi dan warna yang hidup, membuat pengalaman menonton video dan bermain game menjadi sangat memikat"
positif,Fitur kamera depan dengan mode potret yang disempurnakan memungkinkan pengguna untuk mengambil foto selfie yang tajam dan berkualitas tinggi
positif, Kecepatan prosesor yang tinggi pada handphone ini memungkinkan multitasking lancar dan kinerja yang responsif dalam menjalankan aplikasi-aplikasi berat
positif,"Baterai handphone ini memiliki kapasitas yang besar, sehingga pengguna dapat menggunakan perangkat ini sepanjang hari tanpa perlu sering mengisi daya"
positif,"Keamanan handphone ini sangat baik berkat pengenalan wajah dan pemindai sidik jari yang cepat, menjadikannya aman untuk menyimpan data sensitif"
positif,"Handphone ini memiliki fitur pengisian daya nirkabel yang sangat nyaman, sehingga Anda tidak perlu repot-repot dengan kabel saat mengisi daya"
positif," Suara dari speaker stereo pada handphone ini sangat jernih dan berimbang, memberikan pengalaman mendengarkan musik yang luar biasa"
positif,"Desain fisik handphone ini sangat elegan dan ramping, dengan bingkai yang sangat tipis, menjadikannya mudah untuk digenggam"
positif,"Antarmuka pengguna yang intuitif membuat navigasi dan pengaturan pada handphone ini menjadi sangat mudah, bahkan bagi pengguna yang kurang berpengalaman"
positif,"Sinyal jaringan seluler pada handphone ini sangat kuat, bahkan di area yang cenderung memiliki cakupan yang lemah, sehingga tidak ada masalah dengan panggilan terputus atau lambat"
positif,"HP ini bagus, aman, tidak ada yang kurang. Pengemasannya cukup baik dan fungsional. RAM-nya besar. Semoga awet. Dulu, saya membeli Note 11 di sini, tetapi setelah 3 bulan digunakan, hilang karena dicopet. Semoga kali ini beruntung. Amin"
positif,"Gila, ini benar-benar luar biasa, dengan harga seperti ini bisa mendapatkan RAM yang besar, sungguh worth it banget. Warna juga sangat bagus sekali. Semoga fitur-fiturnya berjalan dengan baik. Pengirimannya sangat mantap dan cepat sekali. Terima kasih Xiaomi dan Shopee!"
positif,"Ini yang ketiga kalinya saya membeli produk dari Xiaomi melalui official store, mulai dari Redmi Note 9, Redmi 10, dan yang terbaru, Redmi 12. Tidak pernah mengecewakan. Pengemasannya sangat baik, dengan dus dan bubble wrap 🤩. Sayangnya, kualitas video agak terganggu karena kondisi gelap 🤣, harap maklum karena saya menggunakan HP jadul sehingga tidak bisa di-share"
positif,"Tentu saja, kamera belakang sudah memiliki 0,5x zoom, jadi Anda masih bisa eksis dengan kamera itu. Bentuk dan tampilannya menarik serta bagus, sangat mulus, dan pencahayaan dalam kameranya juga bagus. Banyak fiturnya yang keren, pokoknya."
positif,Kualitas HP bagus sesuai Pic Barang sampai dengan aman Terimakasih
positif,"Terima kasih, barangnya sudah diterima dengan baik. Warna produknya sangat cantik. Meskipun belum saya coba, saya harap semua fitur di dalamnya berfungsi dengan maksimal dan dapat bertahan lama. Terima kasih kepada Shopee dan Xiaomi."
positif,"Kelengkapan bawaan hp lumayan banyak untuk harga 2.2 juta. Dari rom/ ram besar, charger, casing plastik, nfc serta sertifikat ip53. Hanya pengirimannya saja lama lewat 1 hari dari tanggal perkiraan. Di terima lengkap di 73% penyetelan serta dimainkan game bertahan 6 jaman. Di charge 0% keadaan mati 2 jam 15 menit sampai 100%."
positif,"Cuma mau bilang 1 kata untuk HP ini ""The best low phone"", ini HP dibawah 1 jt an paling worth it dibeli, mau jadi daily atau secondary penggunaan, masih cocok kok, apalagi ram nya lumayan gede 4+4 GB, battery bisa bertahan dari pagi hingga sore cuma buat yutub, itu pun masih ada sisa, mantap masih, 5000 mAh. Untuk gaming masih bisa di low class aja, sesuai tipe hpnya, Minusnya, terkadang cenderung agak ngeleg pas scroll media. Untuk performa kamera ini yang paling aku suka, murni jernih banget( bisa liat di contoh), emang the best banget nih Itel phone👍"
positif,"Dengan harga sejutaan, Xiaomi Redmi A2 ini sungguh luar biasa, terutama karena ini adalah hadiah untuk orang tua yang hanya menggunakan beberapa aplikasi seperti WhatsApp, YouTube, Cookpad, dan sebagainya. Pengiriman yang sama hari, cepat, dan dapat diandalkan. Terima kasih, Xiaomi! "
positif,"Alhamdulillah hp mendarat dengan selamat dan mulus, pengiriman cepet, sellernya juga best selalu respon chat dengan cepat. Ini bukan pembelian pertama berarti emang ini toko memuaskan 😉 coba pemakaian hp beberapa hari aman aja gaada kendala, mantap pokonya"
positif,"Handphone ini memiliki garansi yang panjang, sehingga memberikan rasa aman bagi pengguna."
positif,"Handphone ini sangat mudah digunakan, baik untuk pemula maupun pengguna yang sudah berpengalaman."
positif,"Handphone ini memiliki berbagai fitur yang lengkap, mulai dari kamera, layar, baterai, hingga performa. Semuanya terintegrasi dengan baik, sehingga memberikan pengalaman penggunaan yang maksimal."
positif,"Baterai handphone ini memiliki daya tahan yang lama, sehingga dapat digunakan seharian penuh tanpa khawatir kehabisan daya."
positif,"Handphone ini memiliki performa yang kencang, sehingga dapat menjalankan berbagai aplikasi dan game dengan lancar."
Negatif,"Barang bagus tapi di layar ada bintik biru ga tau kenapa bisa lewat Quality Control, fungsi si aman"
Negatif,"Kameranya Burik Banget,, buat VC kaya mayat Hidup🥲Niat mau upgrade dari xiaomi note 10 ke note 12 malah lebih jelek kameranya"
Negatif,"Hpnya ngelag Buka wa, kamera kadang nggak bisa harus restart. Hp kadang mati sendiri tiba-tiba nyala sendiri. Katanya bisa dikembalikan 7 hari setelah barang datang itu bohong. Harus ke servis center dulu nggak bisa pengembalian barang ditolak katanya hp bagus dan tidak lemot. Coba kamu pake wa dan lain lain untuk pengecesan normal , kamera pas awal di coba baik. Tapi kamera nya pucat nggak jernih trlalu hitam."
